checkingstatus,duration,history,purpose,amount,savings,employ,installment,status,others,residence,property,age,otherplans,housing,cards,job,liable,telephone,foreign,outcome
... < 0 DM,6,existing credits paid back duly till now,car (new),1203,100 <= ... < 500 DM,.. >= 7 years,3,male : single,others - none,2,building society savings agreement/ life insurance,> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2223,100 <= ... < 500 DM,.. >= 7 years,4,male : single,others - none,4,building society savings agreement/ life insurance,> 25 years,bank,own,2,skilled employee / official,1,phone - none,foreign - yes,1
0 <= ... < 200 DM,20,existing credits paid back duly till now,car (used),6468,unknown/ no savings account,unemployed,1,male : divorced/separated,others - none,4,real estate,> 25 years,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,21,existing credits paid back duly till now,business,1572,.. >= 1000 DM,.. >= 7 years,4,female : divorced/separated/married,others - none,4,real estate,> 25 years,bank,own,1,unskilled - resident,1,phone - none,foreign - yes,1
0 <= ... < 200 DM,36,delay in paying off in the past,business,4455,... < 100 DM,1 <= ... < 4 years,2,male : divorced/separated,others - none,2,real estate,> 25 years,stores,own,2,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,2
... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,furniture/equipment,3749,... < 100 DM,... < 1 year,2,female : divorced/separated/married,others - none,4,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,4,critical account/ other credits existing (not at this bank),radio/television,1503,... < 100 DM,4 <= ... < 7 years,2,male : single,others - none,1,real estate,> 25 years,none,own,2,unskilled - resident,2,phone - none,foreign - yes,1
... < 0 DM,48,existing credits paid back duly till now,car (new),3931,... < 100 DM,4 <= ... < 7 years,4,male : single,others - none,4,unknown / no property,> 25 years,none,for free,1,skilled employee / official,2,phone - none,foreign - yes,2
... < 0 DM,18,critical account/ other credits existing (not at this bank),car (new),5302,... < 100 DM,.. >= 7 years,2,male : single,others - none,4,unknown / no property,> 25 years,none,for free,3,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1
... < 0 DM,28,existing credits paid back duly till now,car (new),4006,... < 100 DM,1 <= ... < 4 years,3,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,1,unskilled - resident,1,phone - none,foreign - yes,2
0 <= ... < 200 DM,15,existing credits paid back duly till now,repairs,1308,... < 100 DM,.. >= 7 years,4,male : single,others - none,4,"car or other, not in attribute 6",> 25 years,none,own,2,unskilled - resident,1,phone - none,foreign - yes,1
no checking account,6,all credits at this bank paid back duly,car (new),783,unknown/ no savings account,1 <= ... < 4 years,1,male : single,guarantor,2,real estate,> 25 years,stores,own,1,unskilled - resident,2,phone - none,foreign - yes,1
0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),radio/television,1743,... < 100 DM,.. >= 7 years,4,male : single,others - none,2,building society savings agreement/ life insurance,> 25 years,none,own,2,unskilled - resident,1,phone - none,foreign - yes,1
0 <= ... < 200 DM,12,existing credits paid back duly till now,business,1037,100 <= ... < 500 DM,4 <= ... < 7 years,3,male : single,others - none,4,real estate,> 25 years,none,own,1,unskilled - resident,1,phone - none,foreign - yes,1
0 <= ... < 200 DM,48,existing credits paid back duly till now,purpose - others,5381,unknown/ no savings account,unemployed,3,male : single,others - none,4,unknown / no property,> 25 years,bank,for free,1,unemployed/ unskilled - non-resident,1,"phone - yes, registered under the customers name",foreign - yes,1
... < 0 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1049,... < 100 DM,... < 1 year,4,female : divorced/separated/married,others - none,4,building society savings agreement/ life insurance,<= 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,1
... < 0 DM,6,all credits at this bank paid back duly,education,1198,... < 100 DM,.. >= 7 years,4,female : divorced/separated/married,others - none,4,unknown / no property,> 25 years,none,for free,1,skilled employee / official,1,phone - none,foreign - yes,2
no checking account,12,no credits taken/ all credits paid back duly,furniture/equipment,2759,... < 100 DM,.. >= 7 years,2,male : single,others - none,4,building society savings agreement/ life insurance,> 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,1
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (used),2779,... < 100 DM,1 <= ... < 4 years,1,male : married/widowed,others - none,3,"car or other, not in attribute 6",<= 25 years,none,rent,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
... < 0 DM,48,existing credits paid back duly till now,car (used),10297,... < 100 DM,4 <= ... < 7 years,4,male : single,others - none,4,unknown / no property,> 25 years,stores,for free,3,skilled employee / official,2,"phone - yes, registered under the customers name",foreign - yes,2
... >= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,radio/television,2327,... < 100 DM,... < 1 year,2,female : divorced/separated/married,others - none,3,real estate,<= 25 years,none,own,1,unskilled - resident,1,phone - none,foreign - yes,2
no checking account,36,critical account/ other credits existing (not at this bank),car (used),10477,unknown/ no savings account,.. >= 7 years,2,male : single,others - none,4,unknown / no property,> 25 years,none,for free,2,skilled employee / official,1,phone - none,foreign - yes,1
0 <= ... < 200 DM,9,existing credits paid back duly till now,business,1391,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,others - none,1,real estate,> 25 years,bank,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,18,existing credits paid back duly till now,radio/television,2051,... < 100 DM,... < 1 year,4,male : single,others - none,1,real estate,> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
0 <= ... < 200 DM,6,existing credits paid back duly till now,repairs,454,... < 100 DM,... < 1 year,3,male : married/widowed,others - none,1,building society savings agreement/ life insurance,<= 25 years,none,own,1,unskilled - resident,1,phone - none,foreign - yes,1
... < 0 DM,24,delay in paying off in the past,car (new),1333,... < 100 DM,unemployed,4,male : single,others - none,2,real estate,> 25 years,none,for free,2,skilled employee / official,2,phone - none,foreign - yes,2
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1655,... < 100 DM,.. >= 7 years,2,male : single,others - none,4,real estate,> 25 years,none,own,2,unskilled - resident,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1471,... < 100 DM,1 <= ... < 4 years,4,male : single,others - none,4,unknown / no property,> 25 years,none,for free,2,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
0 <= ... < 200 DM,36,no credits taken/ all credits paid back duly,business,1953,... < 100 DM,.. >= 7 years,4,male : single,others - none,4,unknown / no property,> 25 years,none,for free,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,2
0 <= ... < 200 DM,11,existing credits paid back duly till now,furniture/equipment,1577,.. >= 1000 DM,... < 1 year,4,female : divorced/separated/married,others - none,1,real estate,<= 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),2002,... < 100 DM,4 <= ... < 7 years,3,male : single,others - none,4,building society savings agreement/ life insurance,> 25 years,none,rent,1,skilled employee / official,2,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,10,critical account/ other credits existing (not at this bank),car (new),1231,... < 100 DM,.. >= 7 years,3,male : single,others - none,4,real estate,> 25 years,none,own,2,unskilled - resident,2,phone - none,foreign - no,1
no checking account,30,existing credits paid back duly till now,car (used),4811,unknown/ no savings account,4 <= ... < 7 years,2,female : divorced/separated/married,others - none,4,building society savings agreement/ life insurance,<= 25 years,stores,rent,1,unskilled - resident,1,phone - none,foreign - yes,1
no checking account,12,existing credits paid back duly till now,furniture/equipment,1768,... < 100 DM,1 <= ... < 4 years,3,male : single,others - none,2,real estate,<= 25 years,none,rent,1,unskilled - resident,1,phone - none,foreign - yes,1
... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2039,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,others - none,4,real estate,<= 25 years,bank,rent,1,skilled employee / official,1,phone - none,foreign - yes,2
no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1402,500 <= ... < 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,others - none,4,"car or other, not in attribute 6",> 25 years,none,rent,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
... < 0 DM,24,existing credits paid back duly till now,car (new),915,unknown/ no savings account,.. >= 7 years,4,female : divorced/separated/married,others - none,2,"car or other, not in attribute 6",> 25 years,bank,own,1,skilled employee / official,1,phone - none,foreign - yes,2
no checking account,48,delay in paying off in the past,radio/television,7238,unknown/ no savings account,.. >= 7 years,3,male : single,others - none,3,"car or other, not in attribute 6",> 25 years,bank,own,2,skilled employee / official,2,phone - none,foreign - yes,1
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1295,... < 100 DM,... < 1 year,3,female : divorced/separated/married,others - none,1,"car or other, not in attribute 6",<= 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,2
no checking account,24,existing credits paid back duly till now,car (new),7393,... < 100 DM,1 <= ... < 4 years,1,male : single,others - none,4,building society savings agreement/ life insurance,> 25 years,none,own,1,unskilled - resident,2,phone - none,foreign - yes,1
no checking account,36,critical account/ other credits existing (not at this bank),business,6304,unknown/ no savings account,.. >= 7 years,4,male : single,others - none,4,real estate,> 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,1
... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,3590,... < 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,2,building society savings agreement/ life insurance,> 25 years,none,own,1,unskilled - resident,2,phone - none,foreign - yes,1
... < 0 DM,11,critical account/ other credits existing (not at this bank),car (new),3905,... < 100 DM,1 <= ... < 4 years,2,male : single,others - none,2,real estate,> 25 years,none,rent,2,skilled employee / official,2,phone - none,foreign - yes,1
no checking account,24,existing credits paid back duly till now,radio/television,3235,500 <= ... < 1000 DM,.. >= 7 years,3,male : divorced/separated,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,9,existing credits paid back duly till now,furniture/equipment,1388,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,others - none,2,real estate,> 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,1
... < 0 DM,18,all credits at this bank paid back duly,radio/television,1940,... < 100 DM,... < 1 year,3,male : single,co-applicant,4,unknown / no property,> 25 years,bank,for free,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,6,existing credits paid back duly till now,education,1538,... < 100 DM,... < 1 year,1,female : divorced/separated/married,others - none,2,unknown / no property,> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,10,existing credits paid back duly till now,car (new),1597,500 <= ... < 1000 DM,1 <= ... < 4 years,3,male : single,others - none,2,unknown / no property,> 25 years,none,rent,1,unskilled - resident,2,phone - none,foreign - no,1
no checking account,9,existing credits paid back duly till now,car (new),2507,500 <= ... < 1000 DM,.. >= 7 years,2,male : single,others - none,4,unknown / no property,> 25 years,none,for free,1,unskilled - resident,1,phone - none,foreign - yes,1
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),836,100 <= ... < 500 DM,... < 1 year,4,female : divorced/separated/married,others - none,2,building society savings agreement/ life insurance,<= 25 years,bank,own,1,unskilled - resident,1,phone - none,foreign - yes,2
no checking account,6,no credits taken/ all credits paid back duly,car (new),1204,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,others - none,1,unknown / no property,> 25 years,bank,rent,1,skilled employee / official,1,phone - none,foreign - no,1
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1169,unknown/ no savings account,1 <= ... < 4 years,4,male : single,others - none,3,building society savings agreement/ life insurance,> 25 years,none,own,2,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
... < 0 DM,18,critical account/ other credits existing (not at this bank),car (new),3966,... < 100 DM,.. >= 7 years,1,female : divorced/separated/married,others - none,4,real estate,> 25 years,bank,rent,3,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,2
0 <= ... < 200 DM,30,all credits at this bank paid back duly,furniture/equipment,3496,.. >= 1000 DM,1 <= ... < 4 years,4,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,stores,own,1,skilled employee / official,2,"phone - yes, registered under the customers name",foreign - yes,1
... < 0 DM,15,delay in paying off in the past,furniture/equipment,3643,... < 100 DM,.. >= 7 years,1,female : divorced/separated/married,others - none,4,building society savings agreement/ life insurance,> 25 years,none,own,2,unskilled - resident,1,phone - none,foreign - yes,1
... < 0 DM,11,critical account/ other credits existing (not at this bank),car (new),3939,... < 100 DM,1 <= ... < 4 years,1,male : single,others - none,2,real estate,> 25 years,none,own,2,unskilled - resident,2,phone - none,foreign - yes,1
0 <= ... < 200 DM,9,existing credits paid back duly till now,furniture/equipment,959,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - no,2
no checking account,11,critical account/ other credits existing (not at this bank),car (new),1393,... < 100 DM,... < 1 year,4,female : divorced/separated/married,others - none,4,"car or other, not in attribute 6",> 25 years,none,own,2,management/ self-employed/highly qualified employee/ officer,1,phone - none,foreign - yes,1
... < 0 DM,30,existing credits paid back duly till now,furniture/equipment,3108,... < 100 DM,... < 1 year,2,male : divorced/separated,others - none,4,building society savings agreement/ life insurance,> 25 years,none,own,1,unskilled - resident,1,phone - none,foreign - yes,2
... >= 200 DM / salary assignments for at least 1 year,15,critical account/ other credits existing (not at this bank),radio/television,1271,unknown/ no savings account,1 <= ... < 4 years,3,male : single,others - none,4,unknown / no property,> 25 years,none,for free,2,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,2
no checking account,30,critical account/ other credits existing (not at this bank),radio/television,5771,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,others - none,2,"car or other, not in attribute 6",<= 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,1
0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,2762,unknown/ no savings account,.. >= 7 years,1,female : divorced/separated/married,others - none,2,building society savings agreement/ life insurance,<= 25 years,bank,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,2
no checking account,27,delay in paying off in the past,business,5117,... < 100 DM,4 <= ... < 7 years,3,male : single,others - none,4,"car or other, not in attribute 6",> 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1740,... < 100 DM,.. >= 7 years,2,male : married/widowed,others - none,2,real estate,> 25 years,none,rent,2,skilled employee / official,1,phone - none,foreign - yes,1
0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,458,... < 100 DM,1 <= ... < 4 years,4,male : single,others - none,3,real estate,<= 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,24,critical account/ other credits existing (not at this bank),car (used),2197,unknown/ no savings account,4 <= ... < 7 years,4,male : single,others - none,4,"car or other, not in attribute 6",> 25 years,none,own,2,skilled employee / official,2,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,12,critical account/ other credits existing (not at this bank),business,1412,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,2,real estate,> 25 years,none,own,2,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1
0 <= ... < 200 DM,36,existing credits paid back duly till now,repairs,2384,... < 100 DM,... < 1 year,4,male : single,others - none,1,unknown / no property,> 25 years,none,rent,1,unskilled - resident,1,phone - none,foreign - yes,2
... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,4020,... < 100 DM,1 <= ... < 4 years,2,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,stores,own,1,skilled employee / official,1,phone - none,foreign - yes,1
... < 0 DM,18,existing credits paid back duly till now,radio/television,1345,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,others - none,3,real estate,> 25 years,bank,own,1,skilled employee / official,1,phone - none,foreign - yes,2
... < 0 DM,12,existing credits paid back duly till now,car (used),3386,... < 100 DM,.. >= 7 years,3,male : single,others - none,4,unknown / no property,> 25 years,none,for free,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,2
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),12579,... < 100 DM,.. >= 7 years,4,female : divorced/separated/married,others - none,2,unknown / no property,> 25 years,none,for free,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,2
no checking account,15,existing credits paid back duly till now,domestic appliances,1262,500 <= ... < 1000 DM,4 <= ... < 7 years,4,male : single,others - none,3,building society savings agreement/ life insurance,> 25 years,none,own,2,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),furniture/equipment,1919,... < 100 DM,4 <= ... < 7 years,4,male : single,others - none,3,"car or other, not in attribute 6",> 25 years,none,rent,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,6,existing credits paid back duly till now,furniture/equipment,4611,... < 100 DM,... < 1 year,1,female : divorced/separated/married,others - none,4,building society savings agreement/ life insurance,> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,2
... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,domestic appliances,1225,... < 100 DM,1 <= ... < 4 years,2,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,18,critical account/ other credits existing (not at this bank),car (used),3850,... < 100 DM,4 <= ... < 7 years,3,male : single,others - none,1,"car or other, not in attribute 6",> 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,1
... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,7721,unknown/ no savings account,... < 1 year,1,female : divorced/separated/married,others - none,2,building society savings agreement/ life insurance,> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - no,1
... < 0 DM,45,no credits taken/ all credits paid back duly,business,11816,... < 100 DM,.. >= 7 years,2,male : single,others - none,4,"car or other, not in attribute 6",> 25 years,none,rent,2,skilled employee / official,1,phone - none,foreign - yes,2
... < 0 DM,18,existing credits paid back duly till now,radio/television,2600,... < 100 DM,1 <= ... < 4 years,4,male : single,others - none,4,unknown / no property,> 25 years,none,for free,2,skilled employee / official,1,phone - none,foreign - yes,2
no checking account,6,existing credits paid back duly till now,car (new),3518,... < 100 DM,1 <= ... < 4 years,2,male : single,guarantor,3,building society savings agreement/ life insurance,> 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,1
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),car (new),1056,... < 100 DM,.. >= 7 years,3,male : single,guarantor,3,real estate,> 25 years,bank,own,2,skilled employee / official,1,phone - none,foreign - yes,2
... < 0 DM,36,existing credits paid back duly till now,purpose - others,15857,... < 100 DM,unemployed,2,male : divorced/separated,co-applicant,3,"car or other, not in attribute 6",> 25 years,none,own,1,management/ self-employed/highly qualified employee/ officer,1,phone - none,foreign - yes,1
no checking account,36,delay in paying off in the past,car (used),8947,unknown/ no savings account,4 <= ... < 7 years,3,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,stores,own,1,management/ self-employed/highly qualified employee/ officer,2,"phone - yes, registered under the customers name",foreign - yes,1
... < 0 DM,6,existing credits paid back duly till now,furniture/equipment,428,... < 100 DM,.. >= 7 years,2,female : divorced/separated/married,others - none,1,building society savings agreement/ life insurance,> 25 years,bank,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,1
no checking account,9,existing credits paid back duly till now,business,1449,... < 100 DM,4 <= ... < 7 years,3,female : divorced/separated/married,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,1
... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,radio/television,2100,... < 100 DM,1 <= ... < 4 years,4,male : single,co-applicant,2,real estate,> 25 years,stores,own,1,skilled employee / official,1,phone - none,foreign - yes,2
no checking account,48,critical account/ other credits existing (not at this bank),business,7629,unknown/ no savings account,.. >= 7 years,4,male : divorced/separated,others - none,2,"car or other, not in attribute 6",> 25 years,bank,own,2,management/ self-employed/highly qualified employee/ officer,2,phone - none,foreign - yes,1
no checking account,22,existing credits paid back duly till now,radio/television,2675,500 <= ... < 1000 DM,.. >= 7 years,3,male : single,others - none,4,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,6,existing credits paid back duly till now,radio/television,2108,... < 100 DM,4 <= ... < 7 years,2,male : married/widowed,others - none,2,real estate,> 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,18,critical account/ other credits existing (not at this bank),car (used),3229,unknown/ no savings account,unemployed,2,male : single,others - none,4,unknown / no property,> 25 years,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"phone - yes, registered under the customers name",foreign - yes,1
... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,2251,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,1,unskilled - resident,1,phone - none,foreign - yes,1
0 <= ... < 200 DM,24,delay in paying off in the past,furniture/equipment,2333,unknown/ no savings account,... < 1 year,4,male : single,others - none,2,building society savings agreement/ life insurance,> 25 years,bank,own,1,unskilled - resident,1,phone - none,foreign - yes,1
no checking account,12,critical account/ other credits existing (not at this bank),car (new),1495,... < 100 DM,.. >= 7 years,4,male : single,others - none,1,real estate,> 25 years,none,own,2,unskilled - resident,2,phone - none,foreign - yes,1
no checking account,14,delay in paying off in the past,car (new),802,... < 100 DM,1 <= ... < 4 years,4,male : single,others - none,2,"car or other, not in attribute 6",> 25 years,none,own,2,unskilled - resident,1,phone - none,foreign - yes,1
no checking account,24,critical account/ other credits existing (not at this bank),car (used),5804,.. >= 1000 DM,1 <= ... < 4 years,4,male : single,others - none,2,real estate,> 25 years,none,own,2,skilled employee / official,1,phone - none,foreign - yes,1
no checking account,15,existing credits paid back duly till now,domestic appliances,874,unknown/ no savings account,... < 1 year,4,female : divorced/separated/married,others - none,1,real estate,<= 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
... < 0 DM,24,existing credits paid back duly till now,radio/television,2439,... < 100 DM,... < 1 year,4,female : divorced/separated/married,others - none,4,real estate,> 25 years,none,own,1,skilled employee / official,1,"phone - yes, registered under the customers name",foreign - yes,2
0 <= ... < 200 DM,45,critical account/ other credits existing (not at this bank),car (used),4576,100 <= ... < 500 DM,unemployed,3,male : single,others - none,4,"car or other, not in attribute 6",> 25 years,none,own,1,skilled employee / official,1,phone - none,foreign - yes,1
... < 0 DM,15,existing credits paid back duly till now,car (new),1403,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,others - none,4,"car or other, not in attribute 6",> 25 years,none,rent,1,skilled employee / official,1,phone - none,foreign - yes,1
